country;AT (total heat demand MW)
2015-01-01T00:00:00Z;20961,82066
2015-01-01T01:00:00Z;20871,00643
2015-01-01T02:00:00Z;20748,41673
2015-01-01T03:00:00Z;20385,06973
2015-01-01T04:00:00Z;20138,7641
2015-01-01T05:00:00Z;19814,98618
2015-01-01T06:00:00Z;19509,08393
2015-01-01T07:00:00Z;19087,12431
2015-01-01T08:00:00Z;17817,20006
2015-01-01T09:00:00Z;16384,66004
2015-01-01T10:00:00Z;15485,76258
2015-01-01T11:00:00Z;14903,7809
2015-01-01T12:00:00Z;14547,90627
2015-01-01T13:00:00Z;14587,0651
2015-01-01T14:00:00Z;14883,10968
2015-01-01T15:00:00Z;17340,83052
2015-01-01T16:00:00Z;18228,46397
2015-01-01T17:00:00Z;18357,12965
2015-01-01T18:00:00Z;18481,26159
2015-01-01T19:00:00Z;18387,10796
2015-01-01T20:00:00Z;18550,74849
2015-01-01T21:00:00Z;18976,10042
2015-01-01T22:00:00Z;18984,55041
2015-01-01T23:00:00Z;18985,39886
2015-01-02T00:00:00Z;19011,18326
2015-01-02T01:00:00Z;18679,44663
2015-01-02T02:00:00Z;18301,43965
2015-01-02T03:00:00Z;17826,04653
2015-01-02T04:00:00Z;18136,15241
2015-01-02T05:00:00Z;18450,98857
2015-01-02T06:00:00Z;18513,9553
2015-01-02T07:00:00Z;18092,79445
2015-01-02T08:00:00Z;16406,35842
2015-01-02T09:00:00Z;14694,88113
2015-01-02T10:00:00Z;13751,15632
2015-01-02T11:00:00Z;13144,65456
2015-01-02T12:00:00Z;12802,05413
2015-01-02T13:00:00Z;12937,80814
2015-01-02T14:00:00Z;13446,62048
2015-01-02T15:00:00Z;13619,42509
2015-01-02T16:00:00Z;13569,63049
2015-01-02T17:00:00Z;13506,18629
2015-01-02T18:00:00Z;13522,0246
2015-01-02T19:00:00Z;13558,67992
2015-01-02T20:00:00Z;13763,36821
2015-01-02T21:00:00Z;13980,30563
2015-01-02T22:00:00Z;14275,84365
2015-01-02T23:00:00Z;14519,51641
2015-01-03T00:00:00Z;14707,89052
2015-01-03T01:00:00Z;14717,61797
2015-01-03T02:00:00Z;14826,57038
2015-01-03T03:00:00Z;15091,6758
2015-01-03T04:00:00Z;15375,99281
2015-01-03T05:00:00Z;15702,43967
2015-01-03T06:00:00Z;16061,57825
2015-01-03T07:00:00Z;16106,19909
2015-01-03T08:00:00Z;15520,67838
2015-01-03T09:00:00Z;14824,23794
2015-01-03T10:00:00Z;14204,02506
2015-01-03T11:00:00Z;13827,55208
2015-01-03T12:00:00Z;13663,5246
2015-01-03T13:00:00Z;13499,00508
2015-01-03T14:00:00Z;14052,48789
2015-01-03T15:00:00Z;14713,46153
2015-01-03T16:00:00Z;14889,86358
2015-01-03T17:00:00Z;14861,40089
2015-01-03T18:00:00Z;14887,46068
2015-01-03T19:00:00Z;15154,00702
2015-01-03T20:00:00Z;15243,79976
2015-01-03T21:00:00Z;15525,97917
2015-01-03T22:00:00Z;15548,46289
2015-01-03T23:00:00Z;15508,41923
2015-01-04T00:00:00Z;15189,46995
2015-01-04T01:00:00Z;15098,92484
2015-01-04T02:00:00Z;15176,58188
2015-01-04T03:00:00Z;15362,25568
2015-01-04T04:00:00Z;15473,57737
2015-01-04T05:00:00Z;15667,81891
2015-01-04T06:00:00Z;15799,07835
2015-01-04T07:00:00Z;15865,81294
2015-01-04T08:00:00Z;15894,2564
2015-01-04T09:00:00Z;15664,86568
2015-01-04T10:00:00Z;15436,02663
2015-01-04T11:00:00Z;15312,79006
2015-01-04T12:00:00Z;15289,11025
2015-01-04T13:00:00Z;15054,54642
2015-01-04T14:00:00Z;15404,93698
2015-01-04T15:00:00Z;15897,04053
2015-01-04T16:00:00Z;16054,69092
2015-01-04T17:00:00Z;16100,87014
2015-01-04T18:00:00Z;16204,45868
2015-01-04T19:00:00Z;16277,97536
2015-01-04T20:00:00Z;16469,66552
2015-01-04T21:00:00Z;16409,08139
2015-01-04T22:00:00Z;16442,14714
2015-01-04T23:00:00Z;16678,15427
2015-01-05T00:00:00Z;16889,14815
2015-01-05T01:00:00Z;17084,88631
2015-01-05T02:00:00Z;17271,59102
2015-01-05T03:00:00Z;17241,45111
2015-01-05T04:00:00Z;17205,01094
2015-01-05T05:00:00Z;17140,2102
2015-01-05T06:00:00Z;17051,14251
2015-01-05T07:00:00Z;16794,80964
2015-01-05T08:00:00Z;16343,62236
2015-01-05T09:00:00Z;15940,53607
2015-01-05T10:00:00Z;15590,24684
2015-01-05T11:00:00Z;15448,93841
2015-01-05T12:00:00Z;15422,06046
2015-01-05T13:00:00Z;15150,19657
2015-01-05T14:00:00Z;15418,91363
2015-01-05T15:00:00Z;15897,49168
2015-01-05T16:00:00Z;16431,19893
2015-01-05T17:00:00Z;16727,06902
2015-01-05T18:00:00Z;16965,57861
2015-01-05T19:00:00Z;17080,15656
2015-01-05T20:00:00Z;17197,9551
2015-01-05T21:00:00Z;17259,03294
2015-01-05T22:00:00Z;17389,47428
2015-01-05T23:00:00Z;17524,35706
2015-01-06T00:00:00Z;17664,52572
2015-01-06T01:00:00Z;17550,85053
2015-01-06T02:00:00Z;17643,65006
2015-01-06T03:00:00Z;17817,73555
2015-01-06T04:00:00Z;17899,92442
2015-01-06T05:00:00Z;17972,64356
2015-01-06T06:00:00Z;17982,78001
2015-01-06T07:00:00Z;17977,84328
2015-01-06T08:00:00Z;16848,12866
2015-01-06T09:00:00Z;15770,93962
2015-01-06T10:00:00Z;15003,87338
2015-01-06T11:00:00Z;14583,4444
2015-01-06T12:00:00Z;14408,6545
2015-01-06T13:00:00Z;14302,08427
2015-01-06T14:00:00Z;15084,59055
2015-01-06T15:00:00Z;18943,04613
2015-01-06T16:00:00Z;21084,17977
2015-01-06T17:00:00Z;21471,01882
2015-01-06T18:00:00Z;21623,53609
2015-01-06T19:00:00Z;21448,02862
2015-01-06T20:00:00Z;21093,60035
2015-01-06T21:00:00Z;20498,80884
2015-01-06T22:00:00Z;20298,85545
2015-01-06T23:00:00Z;20139,94439
2015-01-07T00:00:00Z;20093,24409
2015-01-07T01:00:00Z;20633,31399
2015-01-07T02:00:00Z;20776,60425
2015-01-07T03:00:00Z;20935,5254
2015-01-07T04:00:00Z;20885,19286
2015-01-07T05:00:00Z;20896,19254
2015-01-07T06:00:00Z;20852,2998
2015-01-07T07:00:00Z;20563,50258
2015-01-07T08:00:00Z;18782,92981
2015-01-07T09:00:00Z;17278,90829
2015-01-07T10:00:00Z;16232,59779
2015-01-07T11:00:00Z;15541,01587
2015-01-07T12:00:00Z;15212,76223
2015-01-07T13:00:00Z;15505,36091
2015-01-07T14:00:00Z;15614,38305
2015-01-07T15:00:00Z;16623,51039
2015-01-07T16:00:00Z;18185,32464
2015-01-07T17:00:00Z;18533,30165
2015-01-07T18:00:00Z;17896,06244
2015-01-07T19:00:00Z;17966,18979
2015-01-07T20:00:00Z;18683,78088
2015-01-07T21:00:00Z;18911,62209
2015-01-07T22:00:00Z;18630,47892
2015-01-07T23:00:00Z;18126,04504
2015-01-08T00:00:00Z;17667,70505
2015-01-08T01:00:00Z;18250,40333
2015-01-08T02:00:00Z;19137,74847
2015-01-08T03:00:00Z;19374,29929
2015-01-08T04:00:00Z;19237,6141
2015-01-08T05:00:00Z;19109,62888
2015-01-08T06:00:00Z;19068,66565
2015-01-08T07:00:00Z;19494,48758
2015-01-08T08:00:00Z;18170,10855
2015-01-08T09:00:00Z;16624,34954
2015-01-08T10:00:00Z;15444,11261
2015-01-08T11:00:00Z;14832,76091
2015-01-08T12:00:00Z;14500,73327
2015-01-08T13:00:00Z;14846,90731
2015-01-08T14:00:00Z;14857,46445
2015-01-08T15:00:00Z;15327,16864
2015-01-08T16:00:00Z;16213,73672
2015-01-08T17:00:00Z;16605,60392
2015-01-08T18:00:00Z;16501,6074
2015-01-08T19:00:00Z;16216,39929
2015-01-08T20:00:00Z;16005,2859
2015-01-08T21:00:00Z;15628,63634
2015-01-08T22:00:00Z;15114,36661
2015-01-08T23:00:00Z;14872,94064
2015-01-09T00:00:00Z;14494,63429
2015-01-09T01:00:00Z;14508,29134
2015-01-09T02:00:00Z;14535,75549
2015-01-09T03:00:00Z;14573,63146
2015-01-09T04:00:00Z;14298,21995
2015-01-09T05:00:00Z;14520,941
2015-01-09T06:00:00Z;14747,91063
2015-01-09T07:00:00Z;14488,62498
2015-01-09T08:00:00Z;13821,59566
2015-01-09T09:00:00Z;13052,61818
2015-01-09T10:00:00Z;12317,02165
2015-01-09T11:00:00Z;11821,58643
2015-01-09T12:00:00Z;11760,06693
2015-01-09T13:00:00Z;11486,94295
2015-01-09T14:00:00Z;11961,92236
2015-01-09T15:00:00Z;12221,20544
2015-01-09T16:00:00Z;12267,98178
2015-01-09T17:00:00Z;12198,41324
2015-01-09T18:00:00Z;12121,22542
2015-01-09T19:00:00Z;11584,43412
2015-01-09T20:00:00Z;11571,33683
2015-01-09T21:00:00Z;11435,9268
2015-01-09T22:00:00Z;11414,17849
2015-01-09T23:00:00Z;11372,25085
2015-01-10T00:00:00Z;11229,33441
2015-01-10T01:00:00Z;11409,19834
2015-01-10T02:00:00Z;11230,80287
2015-01-10T03:00:00Z;10808,081
2015-01-10T04:00:00Z;10212,23146
2015-01-10T05:00:00Z;9693,6796
2015-01-10T06:00:00Z;9217,637778
2015-01-10T07:00:00Z;7884,184534
2015-01-10T08:00:00Z;7644,778463
2015-01-10T09:00:00Z;7541,219698
2015-01-10T10:00:00Z;7436,653246
2015-01-10T11:00:00Z;7243,893388
2015-01-10T12:00:00Z;7192,938239
2015-01-10T13:00:00Z;6237,774772
2015-01-10T14:00:00Z;6750,915052
2015-01-10T15:00:00Z;7519,862072
2015-01-10T16:00:00Z;7916,886146
2015-01-10T17:00:00Z;8239,555659
2015-01-10T18:00:00Z;8498,659028
2015-01-10T19:00:00Z;7937,328931
2015-01-10T20:00:00Z;8254,369722
2015-01-10T21:00:00Z;8496,170925
2015-01-10T22:00:00Z;8574,184808
2015-01-10T23:00:00Z;8874,684484
2015-01-11T00:00:00Z;9160,95484
2015-01-11T01:00:00Z;8758,382668
2015-01-11T02:00:00Z;9295,43948
2015-01-11T03:00:00Z;10188,97921
2015-01-11T04:00:00Z;10999,87197
2015-01-11T05:00:00Z;11739,44824
2015-01-11T06:00:00Z;12344,30948
2015-01-11T07:00:00Z;12887,4094
2015-01-11T08:00:00Z;13184,1906
2015-01-11T09:00:00Z;13556,31243
2015-01-11T10:00:00Z;13862,53578
2015-01-11T11:00:00Z;14101,41816
2015-01-11T12:00:00Z;14294,96356
2015-01-11T13:00:00Z;14332,60969
2015-01-11T14:00:00Z;14609,41785
2015-01-11T15:00:00Z;14971,68629
2015-01-11T16:00:00Z;15355,51126
2015-01-11T17:00:00Z;15641,21494
2015-01-11T18:00:00Z;15797,0337
2015-01-11T19:00:00Z;15545,12159
2015-01-11T20:00:00Z;15581,43252
2015-01-11T21:00:00Z;15481,04084
2015-01-11T22:00:00Z;15437,66424
2015-01-11T23:00:00Z;15434,42696
2015-01-12T00:00:00Z;15408,99463
2015-01-12T01:00:00Z;15020,86916
2015-01-12T02:00:00Z;14994,16124
2015-01-12T03:00:00Z;14935,95401
2015-01-12T04:00:00Z;14857,80276
2015-01-12T05:00:00Z;14812,13439
2015-01-12T06:00:00Z;14815,87096
2015-01-12T07:00:00Z;14715,23944
2015-01-12T08:00:00Z;14246,36244
2015-01-12T09:00:00Z;13607,42074
2015-01-12T10:00:00Z;12842,34606
2015-01-12T11:00:00Z;12297,14971
2015-01-12T12:00:00Z;12000,50266
2015-01-12T13:00:00Z;12033,27827
