country;;AT (total heat demand MW)
2017-01-01T00:00:00Z;2017-01-01T01:00:00;8890
2017-01-01T01:00:00Z;2017-01-01T02:00:00;9083
2017-01-01T02:00:00Z;2017-01-01T03:00:00;9661
2017-01-01T03:00:00Z;2017-01-01T04:00:00;10855
2017-01-01T04:00:00Z;2017-01-01T05:00:00;14387
2017-01-01T05:00:00Z;2017-01-01T06:00:00;17378
2017-01-01T06:00:00Z;2017-01-01T07:00:00;16634
2017-01-01T07:00:00Z;2017-01-01T08:00:00;16365
2017-01-01T08:00:00Z;2017-01-01T09:00:00;15693
2017-01-01T09:00:00Z;2017-01-01T10:00:00;15040
2017-01-01T10:00:00Z;2017-01-01T11:00:00;14449
2017-01-01T11:00:00Z;2017-01-01T12:00:00;14067
2017-01-01T12:00:00Z;2017-01-01T13:00:00;13859
2017-01-01T13:00:00Z;2017-01-01T14:00:00;13956
2017-01-01T14:00:00Z;2017-01-01T15:00:00;14210
2017-01-01T15:00:00Z;2017-01-01T16:00:00;14744
2017-01-01T16:00:00Z;2017-01-01T17:00:00;15073
2017-01-01T17:00:00Z;2017-01-01T18:00:00;14990
2017-01-01T18:00:00Z;2017-01-01T19:00:00;14862
2017-01-01T19:00:00Z;2017-01-01T20:00:00;14376
2017-01-01T20:00:00Z;2017-01-01T21:00:00;13071
2017-01-01T21:00:00Z;2017-01-01T22:00:00;10808
2017-01-01T22:00:00Z;2017-01-01T23:00:00;9048
2017-01-01T23:00:00Z;2017-01-02T00:00:00;7901
2017-01-02T00:00:00Z;2017-01-02T01:00:00;8109
2017-01-02T01:00:00Z;2017-01-02T02:00:00;8320
2017-01-02T02:00:00Z;2017-01-02T03:00:00;8831
2017-01-02T03:00:00Z;2017-01-02T04:00:00;10047
2017-01-02T04:00:00Z;2017-01-02T05:00:00;13461
2017-01-02T05:00:00Z;2017-01-02T06:00:00;16275
2017-01-02T06:00:00Z;2017-01-02T07:00:00;15646
2017-01-02T07:00:00Z;2017-01-02T08:00:00;15361
2017-01-02T08:00:00Z;2017-01-02T09:00:00;14764
2017-01-02T09:00:00Z;2017-01-02T10:00:00;14162
2017-01-02T10:00:00Z;2017-01-02T11:00:00;13601
2017-01-02T11:00:00Z;2017-01-02T12:00:00;13236
2017-01-02T12:00:00Z;2017-01-02T13:00:00;13022
2017-01-02T13:00:00Z;2017-01-02T14:00:00;13155
2017-01-02T14:00:00Z;2017-01-02T15:00:00;13346
2017-01-02T15:00:00Z;2017-01-02T16:00:00;13851
2017-01-02T16:00:00Z;2017-01-02T17:00:00;14127
2017-01-02T17:00:00Z;2017-01-02T18:00:00;14166
2017-01-02T18:00:00Z;2017-01-02T19:00:00;14007
2017-01-02T19:00:00Z;2017-01-02T20:00:00;13519
2017-01-02T20:00:00Z;2017-01-02T21:00:00;12266
2017-01-02T21:00:00Z;2017-01-02T22:00:00;10008
2017-01-02T22:00:00Z;2017-01-02T23:00:00;8314
2017-01-02T23:00:00Z;2017-01-03T00:00:00;7211
2017-01-03T00:00:00Z;2017-01-03T01:00:00;7337
2017-01-03T01:00:00Z;2017-01-03T02:00:00;7556
2017-01-03T02:00:00Z;2017-01-03T03:00:00;8051
2017-01-03T03:00:00Z;2017-01-03T04:00:00;9289
2017-01-03T04:00:00Z;2017-01-03T05:00:00;12681
2017-01-03T05:00:00Z;2017-01-03T06:00:00;15109
2017-01-03T06:00:00Z;2017-01-03T07:00:00;14385
2017-01-03T07:00:00Z;2017-01-03T08:00:00;13958
2017-01-03T08:00:00Z;2017-01-03T09:00:00;13438
2017-01-03T09:00:00Z;2017-01-03T10:00:00;12868
2017-01-03T10:00:00Z;2017-01-03T11:00:00;12477
2017-01-03T11:00:00Z;2017-01-03T12:00:00;12092
2017-01-03T12:00:00Z;2017-01-03T13:00:00;11869
2017-01-03T13:00:00Z;2017-01-03T14:00:00;11904
2017-01-03T14:00:00Z;2017-01-03T15:00:00;12060
2017-01-03T15:00:00Z;2017-01-03T16:00:00;12620
2017-01-03T16:00:00Z;2017-01-03T17:00:00;13028
2017-01-03T17:00:00Z;2017-01-03T18:00:00;13096
2017-01-03T18:00:00Z;2017-01-03T19:00:00;12958
2017-01-03T19:00:00Z;2017-01-03T20:00:00;12540
2017-01-03T20:00:00Z;2017-01-03T21:00:00;11467
2017-01-03T21:00:00Z;2017-01-03T22:00:00;9262
2017-01-03T22:00:00Z;2017-01-03T23:00:00;7634
2017-01-03T23:00:00Z;2017-01-04T00:00:00;7333
2017-01-04T00:00:00Z;2017-01-04T01:00:00;7551
2017-01-04T01:00:00Z;2017-01-04T02:00:00;7617
2017-01-04T02:00:00Z;2017-01-04T03:00:00;8233
2017-01-04T03:00:00Z;2017-01-04T04:00:00;9723
2017-01-04T04:00:00Z;2017-01-04T05:00:00;13212
2017-01-04T05:00:00Z;2017-01-04T06:00:00;14771
2017-01-04T06:00:00Z;2017-01-04T07:00:00;13970
2017-01-04T07:00:00Z;2017-01-04T08:00:00;13635
2017-01-04T08:00:00Z;2017-01-04T09:00:00;13134
2017-01-04T09:00:00Z;2017-01-04T10:00:00;12598
2017-01-04T10:00:00Z;2017-01-04T11:00:00;12258
2017-01-04T11:00:00Z;2017-01-04T12:00:00;11920
2017-01-04T12:00:00Z;2017-01-04T13:00:00;11790
2017-01-04T13:00:00Z;2017-01-04T14:00:00;11969
2017-01-04T14:00:00Z;2017-01-04T15:00:00;12213
2017-01-04T15:00:00Z;2017-01-04T16:00:00;12664
2017-01-04T16:00:00Z;2017-01-04T17:00:00;13166
2017-01-04T17:00:00Z;2017-01-04T18:00:00;13252
2017-01-04T18:00:00Z;2017-01-04T19:00:00;13130
2017-01-04T19:00:00Z;2017-01-04T20:00:00;12776
2017-01-04T20:00:00Z;2017-01-04T21:00:00;11682
2017-01-04T21:00:00Z;2017-01-04T22:00:00;9412
2017-01-04T22:00:00Z;2017-01-04T23:00:00;7842
2017-01-04T23:00:00Z;2017-01-05T00:00:00;7583
2017-01-05T00:00:00Z;2017-01-05T01:00:00;7811
2017-01-05T01:00:00Z;2017-01-05T02:00:00;7999
2017-01-05T02:00:00Z;2017-01-05T03:00:00;8580
2017-01-05T03:00:00Z;2017-01-05T04:00:00;9823
2017-01-05T04:00:00Z;2017-01-05T05:00:00;13210
2017-01-05T05:00:00Z;2017-01-05T06:00:00;15725
2017-01-05T06:00:00Z;2017-01-05T07:00:00;15126
2017-01-05T07:00:00Z;2017-01-05T08:00:00;14779
2017-01-05T08:00:00Z;2017-01-05T09:00:00;14265
2017-01-05T09:00:00Z;2017-01-05T10:00:00;13666
2017-01-05T10:00:00Z;2017-01-05T11:00:00;13096
2017-01-05T11:00:00Z;2017-01-05T12:00:00;12754
2017-01-05T12:00:00Z;2017-01-05T13:00:00;12631
2017-01-05T13:00:00Z;2017-01-05T14:00:00;12699
2017-01-05T14:00:00Z;2017-01-05T15:00:00;12872
2017-01-05T15:00:00Z;2017-01-05T16:00:00;13363
2017-01-05T16:00:00Z;2017-01-05T17:00:00;13769
2017-01-05T17:00:00Z;2017-01-05T18:00:00;13818
2017-01-05T18:00:00Z;2017-01-05T19:00:00;13675
2017-01-05T19:00:00Z;2017-01-05T20:00:00;13134
2017-01-05T20:00:00Z;2017-01-05T21:00:00;11968
2017-01-05T21:00:00Z;2017-01-05T22:00:00;9698
2017-01-05T22:00:00Z;2017-01-05T23:00:00;8007
2017-01-05T23:00:00Z;2017-01-06T00:00:00;7990
2017-01-06T00:00:00Z;2017-01-06T01:00:00;8240
2017-01-06T01:00:00Z;2017-01-06T02:00:00;8427
2017-01-06T02:00:00Z;2017-01-06T03:00:00;9001
2017-01-06T03:00:00Z;2017-01-06T04:00:00;10237
2017-01-06T04:00:00Z;2017-01-06T05:00:00;13726
2017-01-06T05:00:00Z;2017-01-06T06:00:00;16431
2017-01-06T06:00:00Z;2017-01-06T07:00:00;15814
2017-01-06T07:00:00Z;2017-01-06T08:00:00;15499
2017-01-06T08:00:00Z;2017-01-06T09:00:00;14882
2017-01-06T09:00:00Z;2017-01-06T10:00:00;14244
2017-01-06T10:00:00Z;2017-01-06T11:00:00;13671
2017-01-06T11:00:00Z;2017-01-06T12:00:00;13313
2017-01-06T12:00:00Z;2017-01-06T13:00:00;13142
2017-01-06T13:00:00Z;2017-01-06T14:00:00;13244
2017-01-06T14:00:00Z;2017-01-06T15:00:00;13470
2017-01-06T15:00:00Z;2017-01-06T16:00:00;13981
2017-01-06T16:00:00Z;2017-01-06T17:00:00;14304
2017-01-06T17:00:00Z;2017-01-06T18:00:00;14268
2017-01-06T18:00:00Z;2017-01-06T19:00:00;14141
2017-01-06T19:00:00Z;2017-01-06T20:00:00;13687
2017-01-06T20:00:00Z;2017-01-06T21:00:00;12412
2017-01-06T21:00:00Z;2017-01-06T22:00:00;10100
2017-01-06T22:00:00Z;2017-01-06T23:00:00;8386
2017-01-06T23:00:00Z;2017-01-07T00:00:00;8844
2017-01-07T00:00:00Z;2017-01-07T01:00:00;9037
2017-01-07T01:00:00Z;2017-01-07T02:00:00;9240
2017-01-07T02:00:00Z;2017-01-07T03:00:00;9820
2017-01-07T03:00:00Z;2017-01-07T04:00:00;10987
2017-01-07T04:00:00Z;2017-01-07T05:00:00;14438
2017-01-07T05:00:00Z;2017-01-07T06:00:00;17344
2017-01-07T06:00:00Z;2017-01-07T07:00:00;16610
2017-01-07T07:00:00Z;2017-01-07T08:00:00;16472
2017-01-07T08:00:00Z;2017-01-07T09:00:00;15800
2017-01-07T09:00:00Z;2017-01-07T10:00:00;15165
2017-01-07T10:00:00Z;2017-01-07T11:00:00;14582
2017-01-07T11:00:00Z;2017-01-07T12:00:00;14225
2017-01-07T12:00:00Z;2017-01-07T13:00:00;13974
2017-01-07T13:00:00Z;2017-01-07T14:00:00;14095
2017-01-07T14:00:00Z;2017-01-07T15:00:00;14317
2017-01-07T15:00:00Z;2017-01-07T16:00:00;14823
