country;DE (total heat demand MW)
2015-01-01T00:00:00Z;180625,9454
2015-01-01T01:00:00Z;178427,8277
2015-01-01T02:00:00Z;178982,27
2015-01-01T03:00:00Z;180332,252
2015-01-01T04:00:00Z;180568,73
2015-01-01T05:00:00Z;181596,7675
2015-01-01T06:00:00Z;183019,6792
2015-01-01T07:00:00Z;183568,1541
2015-01-01T08:00:00Z;181940,7465
2015-01-01T09:00:00Z;175534,2512
2015-01-01T10:00:00Z;170299,9698
2015-01-01T11:00:00Z;166710,2412
2015-01-01T12:00:00Z;164725,9326
2015-01-01T13:00:00Z;161733,6252
2015-01-01T14:00:00Z;166108,6163
2015-01-01T15:00:00Z;173558,2833
2015-01-01T16:00:00Z;177751,5847
2015-01-01T17:00:00Z;179000,7368
2015-01-01T18:00:00Z;180092,2055
2015-01-01T19:00:00Z;174111,1334
2015-01-01T20:00:00Z;177506,7214
2015-01-01T21:00:00Z;180638,0214
2015-01-01T22:00:00Z;182431,1142
2015-01-01T23:00:00Z;184021,9178
2015-01-02T00:00:00Z;184708,2681
2015-01-02T01:00:00Z;180503,4455
2015-01-02T02:00:00Z;181635,0924
2015-01-02T03:00:00Z;182162,191
2015-01-02T04:00:00Z;179344,5686
2015-01-02T05:00:00Z;176660,9525
2015-01-02T06:00:00Z;171826,9299
2015-01-02T07:00:00Z;167983,7231
2015-01-02T08:00:00Z;160646,622
2015-01-02T09:00:00Z;152607,3678
2015-01-02T10:00:00Z;147690,887
2015-01-02T11:00:00Z;144353,769
2015-01-02T12:00:00Z;142655,8352
2015-01-02T13:00:00Z;140665,394
2015-01-02T14:00:00Z;143232,295
2015-01-02T15:00:00Z;148435,4852
2015-01-02T16:00:00Z;152007,6184
2015-01-02T17:00:00Z;153825,4422
2015-01-02T18:00:00Z;154781,3153
2015-01-02T19:00:00Z;151911,528
2015-01-02T20:00:00Z;154870,8124
2015-01-02T21:00:00Z;157156,2006
2015-01-02T22:00:00Z;158429,2042
2015-01-02T23:00:00Z;160353,0573
2015-01-03T00:00:00Z;162383,3466
2015-01-03T01:00:00Z;160897,2016
2015-01-03T02:00:00Z;164005,2622
2015-01-03T03:00:00Z;166521,8612
2015-01-03T04:00:00Z;167779,901
2015-01-03T05:00:00Z;169456,0434
2015-01-03T06:00:00Z;170597,599
2015-01-03T07:00:00Z;166869,3758
2015-01-03T08:00:00Z;165921,5667
2015-01-03T09:00:00Z;162752,3807
2015-01-03T10:00:00Z;159608,3974
2015-01-03T11:00:00Z;158206,98
2015-01-03T12:00:00Z;158484,7644
2015-01-03T13:00:00Z;158225,299
2015-01-03T14:00:00Z;160522,3671
2015-01-03T15:00:00Z;162691,1669
2015-01-03T16:00:00Z;163242,1656
2015-01-03T17:00:00Z;162885,8205
2015-01-03T18:00:00Z;161982,0464
2015-01-03T19:00:00Z;163742,5382
2015-01-03T20:00:00Z;163993,2714
2015-01-03T21:00:00Z;165044,0742
2015-01-03T22:00:00Z;164306,1852
2015-01-03T23:00:00Z;166227,5457
2015-01-04T00:00:00Z;167238,6757
2015-01-04T01:00:00Z;167640,4399
2015-01-04T02:00:00Z;168077,3871
2015-01-04T03:00:00Z;168410,5068
2015-01-04T04:00:00Z;168289,7831
2015-01-04T05:00:00Z;169583,7183
2015-01-04T06:00:00Z;170747,151
2015-01-04T07:00:00Z;171413,81
2015-01-04T08:00:00Z;170984,973
2015-01-04T09:00:00Z;166193,8041
2015-01-04T10:00:00Z;159390,3581
2015-01-04T11:00:00Z;154561,6361
2015-01-04T12:00:00Z;151899,022
2015-01-04T13:00:00Z;149813,477
2015-01-04T14:00:00Z;153381,5005
2015-01-04T15:00:00Z;160248,1488
2015-01-04T16:00:00Z;165560,6419
2015-01-04T17:00:00Z;167576,4221
2015-01-04T18:00:00Z;169189,1174
2015-01-04T19:00:00Z;167872,9898
2015-01-04T20:00:00Z;168599,7109
2015-01-04T21:00:00Z;169961,0366
2015-01-04T22:00:00Z;171592,1743
2015-01-04T23:00:00Z;173987,8153
2015-01-05T00:00:00Z;176139,2767
2015-01-05T01:00:00Z;175713,217
2015-01-05T02:00:00Z;177038,1077
2015-01-05T03:00:00Z;178991,0758
2015-01-05T04:00:00Z;181594,1491
2015-01-05T05:00:00Z;184627,2378
2015-01-05T06:00:00Z;187161,5367
2015-01-05T07:00:00Z;183212,6204
2015-01-05T08:00:00Z;184533,9592
2015-01-05T09:00:00Z;178648,1261
2015-01-05T10:00:00Z;170832,0379
2015-01-05T11:00:00Z;165825,8257
2015-01-05T12:00:00Z;162475,0152
2015-01-05T13:00:00Z;156567,7109
2015-01-05T14:00:00Z;160953,2503
