country;FR  (total heat demand MW)
2015-01-01T00:00:00Z;146334,9786
2015-01-01T01:00:00Z;144442,3605
2015-01-01T02:00:00Z;144954,803
2015-01-01T03:00:00Z;145085,2407
2015-01-01T04:00:00Z;145598,4584
2015-01-01T05:00:00Z;146439,7708
2015-01-01T06:00:00Z;147261,0544
2015-01-01T07:00:00Z;146505,5267
2015-01-01T08:00:00Z;145193,5155
2015-01-01T09:00:00Z;134221,0678
2015-01-01T10:00:00Z;122522,6731
2015-01-01T11:00:00Z;113819,6152
2015-01-01T12:00:00Z;107007,4593
2015-01-01T13:00:00Z;104592,6514
2015-01-01T14:00:00Z;105004,4675
2015-01-01T15:00:00Z;112788,789
2015-01-01T16:00:00Z;129833,038
2015-01-01T17:00:00Z;134920,0699
2015-01-01T18:00:00Z;136181,1646
2015-01-01T19:00:00Z;133667,196
2015-01-01T20:00:00Z;133867,8003
2015-01-01T21:00:00Z;133584,1126
2015-01-01T22:00:00Z;132697,1088
2015-01-01T23:00:00Z;131880,158
2015-01-02T00:00:00Z;130447,2901
2015-01-02T01:00:00Z;130221,8561
2015-01-02T02:00:00Z;128338,2705
2015-01-02T03:00:00Z;125550,1621
2015-01-02T04:00:00Z;121177,8351
2015-01-02T05:00:00Z;117805,7985
2015-01-02T06:00:00Z;114399,2613
2015-01-02T07:00:00Z;112807,6189
2015-01-02T08:00:00Z;108037,1677
2015-01-02T09:00:00Z;98586,83047
2015-01-02T10:00:00Z;90954,41925
2015-01-02T11:00:00Z;85373,38249
2015-01-02T12:00:00Z;81604,1247
2015-01-02T13:00:00Z;80947,41164
2015-01-02T14:00:00Z;82431,98882
2015-01-02T15:00:00Z;89725,17415
2015-01-02T16:00:00Z;101992,3496
2015-01-02T17:00:00Z;108019,4472
2015-01-02T18:00:00Z;110376,2257
2015-01-02T19:00:00Z;110764,24
2015-01-02T20:00:00Z;113468,6728
2015-01-02T21:00:00Z;114778,2362
2015-01-02T22:00:00Z;114954,5318
2015-01-02T23:00:00Z;115688,5446
2015-01-03T00:00:00Z;115213,9363
2015-01-03T01:00:00Z;116218,7324
2015-01-03T02:00:00Z;115147,6402
2015-01-03T03:00:00Z;113211,5172
2015-01-03T04:00:00Z;110648,4169
2015-01-03T05:00:00Z;109489,9556
2015-01-03T06:00:00Z;106615,6138
2015-01-03T07:00:00Z;108421,7492
2015-01-03T08:00:00Z;105086,8402
2015-01-03T09:00:00Z;96780,88584
2015-01-03T10:00:00Z;87067,33762
2015-01-03T11:00:00Z;79205,47367
2015-01-03T12:00:00Z;73586,81248
2015-01-03T13:00:00Z;71563,83896
2015-01-03T14:00:00Z;67279,76662
2015-01-03T15:00:00Z;64164,82689
2015-01-03T16:00:00Z;64655,88939
2015-01-03T17:00:00Z;65106,7049
2015-01-03T18:00:00Z;66498,12543
2015-01-03T19:00:00Z;68341,51969
2015-01-03T20:00:00Z;70219,38668
2015-01-03T21:00:00Z;73553,09657
2015-01-03T22:00:00Z;76135,97381
2015-01-03T23:00:00Z;79234,06597
2015-01-04T00:00:00Z;82481,69518
2015-01-04T01:00:00Z;84185,998
2015-01-04T02:00:00Z;87820,79961
2015-01-04T03:00:00Z;90294,08528
2015-01-04T04:00:00Z;91828,15329
2015-01-04T05:00:00Z;93418,98128
2015-01-04T06:00:00Z;94202,96016
2015-01-04T07:00:00Z;92699,71171
2015-01-04T08:00:00Z;93486,85526
2015-01-04T09:00:00Z;91394,27574
2015-01-04T10:00:00Z;88774,74033
2015-01-04T11:00:00Z;87182,74438
2015-01-04T12:00:00Z;86063,24867
2015-01-04T13:00:00Z;81577,40744
2015-01-04T14:00:00Z;83625,44761
2015-01-04T15:00:00Z;87890,9408
2015-01-04T16:00:00Z;95678,34229
2015-01-04T17:00:00Z;99205,19993
2015-01-04T18:00:00Z;100935,9231
2015-01-04T19:00:00Z;99873,73315
2015-01-04T20:00:00Z;103753,6972
2015-01-04T21:00:00Z;108104,8993
2015-01-04T22:00:00Z;110857,9279
2015-01-04T23:00:00Z;113614,4237
2015-01-05T00:00:00Z;116197,6985
2015-01-05T01:00:00Z;118579,7491
2015-01-05T02:00:00Z;120517,6388
2015-01-05T03:00:00Z;121928,5077
2015-01-05T04:00:00Z;122377,5588
2015-01-05T05:00:00Z;122640,392
2015-01-05T06:00:00Z;122799,2425
2015-01-05T07:00:00Z;126158,1403
2015-01-05T08:00:00Z;125309,77
2015-01-05T09:00:00Z;117374,2733
2015-01-05T10:00:00Z;108382,0517
2015-01-05T11:00:00Z;101036,4193
2015-01-05T12:00:00Z;94928,35213
2015-01-05T13:00:00Z;95564,66632
2015-01-05T14:00:00Z;94213,38942
2015-01-05T15:00:00Z;99267,44136
2015-01-05T16:00:00Z;115218,4731
2015-01-05T17:00:00Z;120956,4083
2015-01-05T18:00:00Z;124010,4246
2015-01-05T19:00:00Z;129474,0563
2015-01-05T20:00:00Z;130880,5341
2015-01-05T21:00:00Z;131805,9558
2015-01-05T22:00:00Z;132033,9422
2015-01-05T23:00:00Z;132115,2472
2015-01-06T00:00:00Z;132105,661
2015-01-06T01:00:00Z;134813,2192
2015-01-06T02:00:00Z;133920,1819
2015-01-06T03:00:00Z;133012,2486
2015-01-06T04:00:00Z;132280,3126
2015-01-06T05:00:00Z;131722,996
2015-01-06T06:00:00Z;131034,9375
2015-01-06T07:00:00Z;136988,7992
2015-01-06T08:00:00Z;133235,6103
2015-01-06T09:00:00Z;121359,261
2015-01-06T10:00:00Z;110302,3873
2015-01-06T11:00:00Z;101374,4095
2015-01-06T12:00:00Z;94252,07193
2015-01-06T13:00:00Z;96849,38639
2015-01-06T14:00:00Z;95402,64488
2015-01-06T15:00:00Z;100311,075
2015-01-06T16:00:00Z;110815,9537
2015-01-06T17:00:00Z;112810,0252
