cet_cest_timestamp,load,Solar Capacity,Solar Generation,Solar Profile,Wind_Onshore Capacity,Wind_Onshore Generation,Wind_Onshore Profile,Wind_Offshore Capacity,Wind_Offshore Generation,Wind_Offshore Profile
2015-01-01 00:00:00,0,37248,,,27246,,,667,,
2015-01-01 01:00:00,41151,37248,,,27246,8336,0.3059,667,517,0.7744
2015-01-01 02:00:00,40135,37248,,,27246,8540,0.3134,667,514,0.771
2015-01-01 03:00:00,39106,37248,,,27246,8552,0.3139,667,518,0.7761
2015-01-01 04:00:00,38765,37248,,,27246,8643,0.3172,667,520,0.7793
2015-01-01 05:00:00,38941,37248,,,27246,8712,0.3197,667,520,0.779
2015-01-01 06:00:00,39045,37248,,,27246,9167,0.3365,667,521,0.7815
2015-01-01 07:00:00,40206,37248,,,27246,9811,0.3601,667,520,0.7801
2015-01-01 08:00:00,41133,37248,71,0.0019,27246,9683,0.3554,667,525,0.7874
2015-01-01 09:00:00,42963,37248,773,0.0207,27246,9502,0.3487,667,527,0.7907
2015-01-01 10:00:00,45088,37248,2117,0.0568,27246,10025,0.3679,667,525,0.7872
2015-01-01 11:00:00,47013,37248,3364,0.0903,27246,10862,0.3987,667,528,0.7908
2015-01-01 12:00:00,48159,37248,4198,0.1127,27246,11575,0.4248,667,528,0.7912
2015-01-01 13:00:00,47164,37248,3500,0.094,27246,11977,0.4396,667,528,0.7912
2015-01-01 14:00:00,46752,37248,2279,0.0612,27246,11396,0.4183,667,525,0.7864
2015-01-01 15:00:00,47403,37248,746,0.02,27246,11327,0.4157,667,524,0.7858
2015-01-01 16:00:00,49440,37248,50,0.0013,27246,13058,0.4793,667,524,0.786
2015-01-01 17:00:00,53410,37248,0,0,27246,14911,0.5473,667,524,0.7863
2015-01-01 18:00:00,53672,37248,0,0,27246,16344,0.5999,667,524,0.7857
2015-01-01 19:00:00,53012,37248,0,0,27246,17485,0.6417,667,524,0.7851
2015-01-01 20:00:00,50313,37248,0,0,27246,18659,0.6848,667,522,0.783
2015-01-01 21:00:00,48730,37248,0,0,27246,19831,0.7279,667,521,0.7814
2015-01-01 22:00:00,48624,37248,0,0,27246,20716,0.7604,667,519,0.7787
2015-01-01 23:00:00,45668,37248,0,0,27246,21589,0.7924,667,494,0.7407
2015-01-02 00:00:00,42424,37250,0,0,27259,22167,0.8132,667,305,0.4572
